Latitude;Longitude;Altitude;Geometry;Grund der Fällung;Baum_ID;Gattung;Art;Sorte;Deutsch;Straße;Hausnummer;Pflegebezirk;Politischer Bezirk;Stammumfang;X_Koord;Y_Koord
51.18432302;6.8262692;0;point;Pilzbefall (Schwefelporling);68669;Robinia;pseudoacacia Bessoniana;;Robinie;Dabringhauser Straße;24;3209;9;190;32348083.1;5672568.49
51.18456051;6.82593862;0;point;Pilzbefall (Schwefelporling);68670;Robinia;pseudoacacia Bessoniana;;Robinie;Dabringhauser Straße;29;3209;9;180;32348060.78;5672595.58
51.1844559;6.82589904;0;point;Pilzbefall (Schwefelporling);68673;Robinia;pseudoacacia Bessoniana;;Robinie;Dabringhauser Straße;30;3209;9;160;32348057.67;5672584.03
51.18358108;6.8272437;0;point;Pilzbefall (Schwefelporling);68686;Robinia;pseudoacacia Bessoniana;;Robinie;Dabringhauser Straße;ggü. 43;3209;9;200;32348148.76;5672483.98
51.21359056;6.77226724;0;point;Morschungen am Stammfuß;77447;Robinia;pseudoacacia;Monophylla;Robinie;Florastraße;31;3205;3;150;32344408.09;5675935.73
51.21367981;6.77216485;0;point;abgestorben;77449;Robinia;pseudoacacia;Monophylla;Robinie;Florastraße;29;3205;3;130;32344401.24;5675945.87
51.21425179;6.79070937;0;point;Pilzbefall (Schwefelporling);78367;Robinia;pseudoacaccia;;Scheinakazie;Arminstraße;15;3207;3;206;32345698.22;5675970.36
51.20040634;6.78976915;0;point;Stammschäden;82778;Betula;pendula (früher verrucosa);;Sandbirke;Moorenplatz;Grünanlage;3207;3;133;32345586.25;5674432.86
51.23454237;6.78517552;0;point;;103590;Robinia;pseudoacaccia;;Scheinakazie;Rochusstraße;23;;;;32345379.79;5678238.11
51.25572644;6.80983882;0;point;abgestorben;104339;Acer;pseudoplatanus;;Bergahorn;Wrangelstraße;Schule;3104;6;112;32347171.64;5680541.96
51.25616857;6.80860986;0;point;Pilzbefall (Schillerporling) ;104434;Betula;pendula;;Sandbirke;Wrangelstraße;Schule;3104;6;125;32347087.36;5680593.68
